"age","workclass","education","marital_status","occupation","race","sex","hours_per_week","income"
24,"Private","HS-grad","Single","Service","White","Female",40,0
38,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",35,0
37,"Private","Bachelors","Married","Sales","White","Male",50,0
46,"Private","Assoc","Divorced","Service","Other","Female",36,0
38,"Government","Masters","Married","Professional","White","Male",40,1
43,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",60,0
27,"Private","Assoc","Married","White-Collar","White","Female",35,0
20,"Private","Some-college","Single","Sales","White","Male",20,0
49,"Private","Some-college","Married","Blue-Collar","Other","Male",40,1
61,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",40,0
27,"Private","Some-college","Single","Sales","White","Female",40,0
19,"Private","Some-college","Single","Service","White","Male",30,0
45,"Private","Assoc","Single","Professional","White","Female",40,1
70,"Private","Some-college","Single","Service","White","Male",40,0
31,"Private","HS-grad","Single","Blue-Collar","Other","Female",30,0
22,"Private","Some-college","Married","Service","White","Male",24,0
36,"Private","HS-grad","Widowed","Service","White","Female",24,0
64,"Private","School","Married","Blue-Collar","White","Male",40,0
43,"Other/Unknown","Some-college","Divorced","Other/Unknown","White","Female",40,0
47,"Government","Some-college","Divorced","White-Collar","White","Female",38,0
34,"Private","HS-grad","Single","White-Collar","White","Female",40,0
33,"Private","Bachelors","Single","White-Collar","Other","Female",40,0
21,"Private","HS-grad","Single","Blue-Collar","White","Male",35,0
52,"Other/Unknown","HS-grad","Divorced","Other/Unknown","White","Male",45,1
48,"Private","HS-grad","Married","Blue-Collar","White","Male",46,0
23,"Private","Bachelors","Single","Blue-Collar","White","Male",40,0
71,"Self-Employed","Some-college","Separated","Sales","Other","Male",2,0
29,"Private","HS-grad","Divorced","Blue-Collar","White","Male",60,0
42,"Private","Bachelors","Separated","Service","Other","Male",50,0
68,"Other/Unknown","School","Divorced","Other/Unknown","White","Female",20,0
25,"Private","HS-grad","Single","Service","White","Female",40,0
44,"Self-Employed","Masters","Divorced","White-Collar","Other","Female",40,0
28,"Private","HS-grad","Single","White-Collar","Other","Female",40,0
45,"Self-Employed","Masters","Married","Sales","White","Male",40,1
36,"Private","Some-college","Divorced","Service","White","Female",40,0
39,"Government","Assoc","Single","White-Collar","White","Male",42,0
46,"Government","Masters","Widowed","Service","White","Male",40,0
18,"Private","School","Single","Blue-Collar","White","Male",16,0
66,"Government","Assoc","Widowed","Professional","White","Female",20,0
27,"Private","HS-grad","Single","Service","White","Male",40,0
28,"Government","HS-grad","Married","Service","White","Male",40,0
51,"Private","Some-college","Married","Sales","White","Male",40,1
27,"Private","Bachelors","Single","Blue-Collar","White","Male",50,0
28,"Government","Bachelors","Married","Professional","White","Male",40,1
27,"Private","HS-grad","Married","Sales","White","Female",25,0
21,"Private","HS-grad","Single","Blue-Collar","Other","Male",40,0
34,"Private","HS-grad","Single","Blue-Collar","Other","Male",40,0
18,"Private","HS-grad","Single","Service","White","Male",12,0
33,"Private","Bachelors","Married","Professional","White","Male",65,0
44,"Government","Some-college","Married","White-Collar","Other","Male",38,1
43,"Private","Some-college","Divorced","White-Collar","White","Female",40,0
30,"Private","Some-college","Single","Blue-Collar","Other","Male",45,0
40,"Private","School","Married","Blue-Collar","White","Male",40,1
37,"Government","Some-college","Married","White-Collar","White","Male",42,1
34,"Private","HS-grad","Married","White-Collar","Other","Male",40,0
41,"Self-Employed","Bachelors","Divorced","White-Collar","White","Female",40,0
53,"Other/Unknown","Bachelors","Divorced","Other/Unknown","White","Female",50,0
31,"Private","Masters","Married","Professional","White","Female",50,0
58,"Government","Doctorate","Married","Professional","White","Male",1,1
38,"Private","Some-college","Divorced","Blue-Collar","Other","Female",28,0
24,"Private","Some-college","Married","Blue-Collar","White","Male",40,0
41,"Government","Bachelors","Married","Blue-Collar","Other","Male",40,0
47,"Private","Some-college","Married","Service","White","Male",45,0
41,"Government","Bachelors","Married","Service","White","Male",24,0
23,"Private","School","Married","Blue-Collar","White","Male",40,0
36,"Private","Some-college","Divorced","Blue-Collar","White","Male",40,0
40,"Government","Masters","Single","White-Collar","White","Female",55,1
35,"Private","Masters","Married","Professional","White","Male",40,1
24,"Self-Employed","HS-grad","Single","Sales","White","Male",40,0
26,"Private","Masters","Single","Professional","White","Female",40,0
19,"Other/Unknown","HS-grad","Single","Other/Unknown","White","Male",40,0
51,"Private","Bachelors","Married","White-Collar","White","Male",50,1
42,"Government","Some-college","Single","Professional","White","Female",40,0
37,"Government","HS-grad","Divorced","White-Collar","White","Female",35,0
18,"Private","School","Single","Sales","White","Female",40,0
36,"Private","Bachelors","Married","Service","Other","Male",36,1
35,"Private","HS-grad","Divorced","Blue-Collar","White","Male",60,0
58,"Self-Employed","HS-grad","Married","Sales","White","Female",35,1
17,"Private","School","Single","Sales","White","Female",12,0
44,"Government","HS-grad","Married","Blue-Collar","Other","Male",40,0
37,"Private","HS-grad","Married","Blue-Collar","White","Male",40,1
35,"Private","Some-college","Single","Sales","Other","Female",40,0
60,"Private","HS-grad","Married","Blue-Collar","Other","Male",40,0
54,"Self-Employed","School","Married","Blue-Collar","White","Male",40,1
37,"Private","Bachelors","Single","White-Collar","Other","Male",60,1
50,"Private","Assoc","Divorced","Sales","White","Female",40,0
38,"Private","Bachelors","Married","Sales","White","Male",50,0
45,"Private","Bachelors","Married","Professional","White","Male",55,0
25,"Private","School","Single","Blue-Collar","White","Male",40,0
31,"Private","Some-college","Married","Blue-Collar","White","Male",40,0
64,"Other/Unknown","School","Divorced","Other/Unknown","White","Male",40,0
90,"Private","HS-grad","Single","Service","Other","Male",40,0
54,"Private","HS-grad","Married","White-Collar","Other","Male",20,0
53,"Government","School","Single","Blue-Collar","White","Female",35,0
18,"Private","HS-grad","Single","Sales","White","Female",40,0
60,"Other/Unknown","School","Divorced","Other/Unknown","Other","Female",10,0
66,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",50,0
75,"Private","Assoc","Widowed","White-Collar","White","Female",20,0
65,"Private","HS-grad","Divorced","White-Collar","White","Female",40,0
35,"Private","School","Separated","Blue-Collar","Other","Male",40,0
41,"Private","HS-grad","Divorced","Sales","Other","Female",38,0
25,"Private","Some-college","Single","White-Collar","White","Male",42,0
33,"Private","Some-college","Divorced","Blue-Collar","Other","Female",40,0
28,"Private","Prof-school","Single","Professional","White","Male",55,1
59,"Government","HS-grad","Married","Service","White","Male",40,0
40,"Government","Some-college","Single","White-Collar","White","Female",38,0
41,"Private","Bachelors","Married","White-Collar","White","Male",50,1
38,"Government","Masters","Married","White-Collar","White","Male",70,1
23,"Private","HS-grad","Single","Blue-Collar","White","Male",40,0
40,"Private","Bachelors","Married","Professional","White","Male",40,1
41,"Self-Employed","HS-grad","Married","Service","White","Female",20,0
24,"Government","Assoc","Married","Service","White","Male",50,0
20,"Other/Unknown","Some-college","Single","Other/Unknown","White","Male",20,0
38,"Private","Some-college","Divorced","Blue-Collar","White","Male",40,0
56,"Private","HS-grad","Married","White-Collar","White","Male",35,0
58,"Private","HS-grad","Married","White-Collar","White","Male",45,1
32,"Private","HS-grad","Single","Service","White","Female",34,0
40,"Private","Assoc","Married","Service","White","Male",60,1
45,"Private","HS-grad","Married","White-Collar","White","Male",40,0
41,"Private","Prof-school","Married","Professional","White","Female",40,1
42,"Private","Bachelors","Married","White-Collar","Other","Female",40,0
59,"Government","School","Widowed","Service","Other","Female",30,0
19,"Government","Some-college","Single","White-Collar","White","Male",40,0
58,"Private","Some-college","Single","Blue-Collar","White","Male",20,0
42,"Self-Employed","HS-grad","Married","Blue-Collar","Other","Male",40,1
20,"Private","HS-grad","Single","Service","White","Female",40,0
32,"Private","HS-grad","Separated","Service","White","Female",30,0
45,"Private","Assoc","Widowed","White-Collar","White","Female",45,0
50,"Private","School","Divorced","Blue-Collar","White","Male",40,0
36,"Private","Bachelors","Divorced","Professional","White","Female",40,0
45,"Private","HS-grad","Married","Sales","White","Male",60,0
17,"Private","School","Single","Service","White","Male",12,0
59,"Private","Some-college","Married","Sales","White","Male",40,0
26,"Private","School","Married","Blue-Collar","White","Male",40,0
37,"Self-Employed","Some-college","Married","White-Collar","Other","Male",75,1
19,"Other/Unknown","Some-college","Single","Other/Unknown","White","Male",24,0
64,"Private","HS-grad","Married","White-Collar","White","Male",40,1
33,"Private","Bachelors","Single","Professional","White","Female",45,0
33,"Private","HS-grad","Married","Blue-Collar","White","Female",40,1
61,"Private","HS-grad","Married","White-Collar","White","Male",40,1
17,"Private","School","Single","Service","White","Male",24,0
50,"Self-Employed","Masters","Married","Blue-Collar","White","Male",98,0
27,"Government","Masters","Single","Professional","White","Male",35,0
30,"Private","HS-grad","Divorced","Professional","White","Female",40,0
43,"Private","HS-grad","Married","Blue-Collar","Other","Male",40,0
44,"Private","Some-college","Married","Blue-Collar","White","Male",40,1
35,"Private","Some-college","Single","White-Collar","White","Female",40,0
25,"Private","Some-college","Single","Service","White","Female",40,0
24,"Private","Some-college","Married","Blue-Collar","White","Female",48,1
22,"Private","Bachelors","Single","Professional","White","Female",15,0
42,"Government","Some-college","Married","Blue-Collar","White","Male",40,1
34,"Private","Assoc","Divorced","Sales","Other","Female",45,0
60,"Private","Bachelors","Divorced","Professional","White","Female",42,0
21,"Private","HS-grad","Single","Blue-Collar","White","Male",40,0
57,"Government","Masters","Married","Sales","White","Male",40,1
41,"Private","Prof-school","Married","Professional","White","Male",60,1
50,"Private","Some-college","Divorced","Service","White","Male",45,0
25,"Private","Bachelors","Single","White-Collar","White","Female",40,0
50,"Private","School","Married","Blue-Collar","White","Male",40,0
36,"Private","Bachelors","Married","Professional","White","Male",45,0
31,"Private","HS-grad","Divorced","Professional","White","Female",40,0
29,"Government","Bachelors","Single","Service","White","Male",56,0
21,"Private","Some-college","Single","Sales","White","Male",45,0
27,"Private","Bachelors","Single","Service","Other","Female",40,0
65,"Private","HS-grad","Married","Blue-Collar","White","Male",16,0
37,"Self-Employed","Bachelors","Divorced","Sales","White","Female",60,0
39,"Other/Unknown","Masters","Married","Other/Unknown","Other","Female",40,0
24,"Private","HS-grad","Single","Blue-Collar","White","Male",40,0
38,"Private","HS-grad","Divorced","Sales","White","Male",80,0
48,"Private","Bachelors","Married","White-Collar","White","Male",40,1
21,"Private","Some-college","Single","Service","Other","Female",25,0
31,"Private","HS-grad","Married","Blue-Collar","White","Male",45,1
55,"Private","HS-grad","Married","Sales","White","Male",40,1
24,"Private","Some-college","Married","White-Collar","Other","Female",40,0
43,"Private","HS-grad","Divorced","White-Collar","White","Female",40,0
26,"Private","Assoc","Single","Service","White","Male",45,0
46,"Private","Assoc","Single","Professional","White","Female",33,0
35,"Private","Assoc","Married","White-Collar","White","Male",40,1
41,"Self-Employed","Some-college","Married","Blue-Collar","White","Male",54,1
26,"Private","Bachelors","Single","Sales","White","Male",40,0
34,"Private","Masters","Married","White-Collar","Other","Male",35,1
19,"Other/Unknown","Some-college","Single","Other/Unknown","Other","Female",25,0
36,"Self-Employed","Bachelors","Divorced","Professional","Other","Female",40,1
22,"Private","Some-college","Single","Sales","White","Male",15,0
24,"Private","Some-college","Single","Blue-Collar","White","Male",40,0
77,"Self-Employed","Some-college","Married","Sales","White","Male",40,0
22,"Private","School","Married","Blue-Collar","White","Female",40,0
29,"Private","Some-college","Single","Service","White","Female",40,0
62,"Private","HS-grad","Widowed","Service","White","Female",24,0
39,"Self-Employed","HS-grad","Married","White-Collar","White","Male",40,0
43,"Private","Some-college","Married","Blue-Collar","White","Male",50,0
35,"Private","HS-grad","Divorced","Blue-Collar","White","Male",45,0
29,"Private","School","Single","White-Collar","White","Female",40,0
76,"Self-Employed","Masters","Married","Blue-Collar","White","Male",10,0
63,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",45,0
23,"Other/Unknown","Assoc","Single","Other/Unknown","Other","Female",15,0
43,"Private","Some-college","Married","Professional","White","Female",50,1
58,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",40,0
66,"Private","HS-grad","Single","Blue-Collar","White","Male",55,0
41,"Private","Some-college","Single","Blue-Collar","Other","Male",45,0
26,"Private","Bachelors","Single","White-Collar","White","Male",40,0
47,"Private","Assoc","Single","Service","White","Male",40,0
55,"Government","School","Married","White-Collar","White","Male",40,0
53,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
17,"Private","School","Single","Service","White","Male",48,0
30,"Private","HS-grad","Single","Blue-Collar","White","Male",40,0
49,"Private","Masters","Single","Professional","White","Male",60,0
19,"Private","HS-grad","Single","Sales","Other","Male",30,0
45,"Private","HS-grad","Married","Service","Other","Male",40,0
26,"Private","Assoc","Single","Sales","White","Male",40,0
38,"Private","Assoc","Married","Blue-Collar","White","Male",40,1
36,"Government","HS-grad","Married","Service","White","Male",40,1
33,"Private","HS-grad","Single","Blue-Collar","White","Male",20,0
22,"Government","Some-college","Single","Service","Other","Female",40,0
43,"Self-Employed","Bachelors","Single","Sales","White","Male",42,0
67,"Other/Unknown","School","Married","Other/Unknown","White","Male",8,0
30,"Other/Unknown","Assoc","Divorced","Other/Unknown","White","Female",40,0
56,"Private","Assoc","Married","Service","White","Male",25,0
31,"Private","Bachelors","Single","Professional","White","Male",25,0
33,"Private","Bachelors","Married","White-Collar","White","Male",40,1
26,"Private","HS-grad","Married","Service","White","Male",40,0
33,"Private","Bachelors","Married","White-Collar","White","Male",40,1
46,"Government","School","Married","Blue-Collar","White","Male",30,0
59,"Other/Unknown","Bachelors","Married","Other/Unknown","White","Male",40,1
38,"Government","HS-grad","Married","White-Collar","White","Male",40,1
65,"Private","School","Widowed","Service","Other","Male",40,0
40,"Private","Assoc","Married","Service","White","Male",40,1
42,"Private","HS-grad","Married","White-Collar","White","Female",35,0
26,"Self-Employed","School","Married","Blue-Collar","White","Male",40,0
36,"Private","School","Married","Service","White","Female",24,0
62,"Private","Masters","Married","Professional","White","Male",40,1
43,"Private","Bachelors","Married","Blue-Collar","White","Male",45,0
43,"Private","Bachelors","Divorced","White-Collar","White","Male",45,1
22,"Private","HS-grad","Married","Sales","White","Male",55,0
28,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
56,"Self-Employed","Some-college","Married","Sales","White","Male",45,0
22,"Private","Assoc","Single","Sales","White","Female",15,0
57,"Private","Bachelors","Divorced","White-Collar","White","Female",45,1
39,"Private","HS-grad","Divorced","Sales","White","Female",40,0
26,"Government","Some-college","Single","White-Collar","White","Female",15,0
17,"Private","School","Single","Service","White","Male",10,0
40,"Government","Assoc","Married","Blue-Collar","White","Male",38,1
45,"Private","HS-grad","Married","Blue-Collar","Other","Male",40,0
44,"Private","HS-grad","Single","Blue-Collar","Other","Male",40,0
20,"Government","Some-college","Single","White-Collar","White","Female",10,0
33,"Private","HS-grad","Married","Blue-Collar","White","Female",40,0
23,"Private","Some-college","Single","Sales","White","Male",40,0
46,"Self-Employed","Masters","Divorced","White-Collar","White","Male",30,0
38,"Private","HS-grad","Married","Sales","White","Male",50,0
54,"Private","HS-grad","Divorced","Blue-Collar","White","Male",40,0
46,"Private","School","Divorced","Blue-Collar","White","Female",45,0
25,"Private","Some-college","Married","Blue-Collar","White","Male",40,0
46,"Private","Some-college","Divorced","Sales","White","Female",40,0
36,"Government","Some-college","Married","Blue-Collar","White","Female",40,0
23,"Private","HS-grad","Single","Service","White","Female",25,0
29,"Private","HS-grad","Separated","Blue-Collar","White","Male",40,0
44,"Private","Some-college","Married","White-Collar","White","Female",6,1
19,"Private","Some-college","Single","White-Collar","White","Female",16,0
19,"Private","HS-grad","Single","Service","White","Female",40,0
35,"Private","HS-grad","Married","Service","White","Female",40,1
27,"Private","Bachelors","Single","Blue-Collar","White","Male",50,0
46,"Self-Employed","Assoc","Separated","Blue-Collar","White","Male",40,0
34,"Government","Bachelors","Married","White-Collar","White","Male",45,1
34,"Private","HS-grad","Single","Service","White","Female",35,0
44,"Private","Some-college","Married","Service","White","Male",40,0
45,"Private","Some-college","Divorced","Blue-Collar","White","Female",40,0
20,"Other/Unknown","HS-grad","Single","Other/Unknown","White","Female",35,0
25,"Private","Bachelors","Married","White-Collar","White","Male",55,1
52,"Self-Employed","Bachelors","Married","White-Collar","White","Male",50,1
20,"Private","Some-college","Single","Blue-Collar","White","Male",40,0
28,"Private","Some-college","Single","Service","White","Female",40,0
50,"Government","Bachelors","Married","Service","White","Male",40,1
34,"Private","Assoc","Divorced","Service","White","Female",64,0
28,"Private","School","Married","Blue-Collar","Other","Male",40,0
41,"Private","Masters","Married","White-Collar","White","Male",65,1
28,"Private","HS-grad","Married","White-Collar","White","Male",40,0
46,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",25,0
28,"Other/Unknown","Some-college","Married","Other/Unknown","White","Female",40,1
32,"Private","Some-college","Married","White-Collar","White","Male",50,0
41,"Government","Some-college","Divorced","Service","Other","Female",24,0
24,"Private","HS-grad","Single","Blue-Collar","Other","Female",40,0
33,"Private","Some-college","Divorced","White-Collar","White","Female",40,0
46,"Private","Doctorate","Married","White-Collar","White","Male",60,1
31,"Government","Some-college","Married","Blue-Collar","White","Male",40,0
35,"Private","School","Divorced","Blue-Collar","White","Male",50,1
52,"Private","School","Married","Blue-Collar","White","Male",40,0
30,"Private","School","Single","Service","White","Female",19,0
34,"Government","School","Separated","Blue-Collar","Other","Male",40,0
34,"Government","HS-grad","Divorced","Blue-Collar","White","Female",40,0
20,"Private","Some-college","Married","Sales","White","Male",30,0
17,"Private","School","Single","Blue-Collar","White","Male",18,0
32,"Government","Bachelors","Married","White-Collar","White","Female",40,1
29,"Private","HS-grad","Divorced","Blue-Collar","White","Male",40,0
33,"Private","School","Single","Blue-Collar","White","Female",35,0
25,"Private","HS-grad","Married","Blue-Collar","White","Male",60,0
36,"Government","Masters","Single","Professional","White","Male",40,0
23,"Private","HS-grad","Single","Blue-Collar","White","Male",72,0
63,"Self-Employed","HS-grad","Married","White-Collar","White","Male",40,1
47,"Government","Masters","Married","Professional","White","Male",40,0
80,"Other/Unknown","HS-grad","Widowed","Other/Unknown","White","Male",24,0
17,"Other/Unknown","School","Single","Other/Unknown","White","Male",40,0
40,"Self-Employed","Bachelors","Married","Professional","White","Female",40,0
30,"Private","Assoc","Married","Service","White","Female",25,1
27,"Private","Some-college","Single","Blue-Collar","Other","Male",40,0
33,"Private","Masters","Married","Professional","White","Male",50,1
34,"Government","HS-grad","Single","Blue-Collar","Other","Male",60,0
34,"Government","Some-college","Single","Service","White","Female",40,0
23,"Private","Some-college","Married","White-Collar","White","Male",40,0
42,"Government","Some-college","Married","White-Collar","White","Female",40,0
29,"Private","Bachelors","Single","Professional","White","Male",40,0
45,"Private","HS-grad","Divorced","White-Collar","White","Female",28,0
24,"Government","HS-grad","Single","Other/Unknown","White","Male",40,0
44,"Private","Some-college","Married","Professional","White","Male",40,1
27,"Private","School","Single","Blue-Collar","White","Male",40,0
20,"Private","Some-college","Single","Sales","White","Male",35,0
44,"Private","HS-grad","Widowed","White-Collar","Other","Female",40,0
51,"Private","HS-grad","Married","Blue-Collar","Other","Male",40,0
20,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
17,"Other/Unknown","School","Single","Other/Unknown","White","Female",5,0
19,"Private","HS-grad","Single","Blue-Collar","Other","Female",40,0
45,"Self-Employed","Some-college","Married","Blue-Collar","White","Male",55,1
60,"Private","HS-grad","Married","Blue-Collar","White","Male",40,1
42,"Private","Assoc","Married","White-Collar","Other","Male",40,1
44,"Self-Employed","HS-grad","Married","Sales","White","Female",40,1
40,"Private","Assoc","Married","Blue-Collar","Other","Male",40,1
30,"Private","HS-grad","Married","White-Collar","White","Female",40,0
38,"Private","Some-college","Married","Blue-Collar","Other","Male",50,0
23,"Private","HS-grad","Married","Blue-Collar","White","Male",60,0
32,"Other/Unknown","Some-college","Married","Other/Unknown","White","Male",40,0
44,"Private","Assoc","Single","Blue-Collar","White","Male",40,0
54,"Government","HS-grad","Married","Blue-Collar","Other","Male",40,0
32,"Private","Bachelors","Married","Professional","White","Male",50,0
50,"Private","School","Married","Blue-Collar","White","Male",40,0
