emp_length,annual_inc,open_acc,credit_years,grade,home_ownership,purpose,addr_state,loan_status
10,62300,15,18,A,RENT,debt,Other,1
9,65000,8,13,D,MORTGAGE,purchase,Other,1
10,55000,7,7,D,RENT,debt,Other,1
10,45600,6,16,A,MORTGAGE,debt,Other,1
6,80000,7,12,B,RENT,small_business,Other,1
10,100000,17,17,A,MORTGAGE,debt,Other,0
6,27000,7,5,B,RENT,purchase,NY,1
10,60000,11,19,A,RENT,debt,Other,1
5,70000,5,10,A,RENT,debt,Other,1
8,80000,9,20,B,MORTGAGE,debt,IL,0
9,110000,11,12,B,RENT,debt,CA,1
1,40000,7,8,B,RENT,debt,CA,1
4,50000,11,5,C,RENT,purchase,CA,0
1,46000,11,12,B,RENT,debt,TX,1
7,50000,7,13,E,RENT,debt,Other,0
7,81000,12,13,E,RENT,debt,Other,1
1,39000,5,7,B,OWN,debt,Other,1
2,51400,10,11,B,RENT,debt,TX,1
1,33000,4,5,D,MORTGAGE,debt,TX,1
1,30000,17,10,B,MORTGAGE,debt,Other,1
6,40000,5,6,D,RENT,small_business,CA,1
1,50000,6,9,C,RENT,debt,Other,1
1,62000,14,5,D,RENT,debt,Other,1
10,45996,7,15,B,RENT,debt,Other,0
7,55000,9,6,B,MORTGAGE,debt,Other,1
5,30000,7,17,D,RENT,debt,Other,0
4,44544,10,9,C,RENT,debt,CA,1
4,75000,6,12,F,RENT,small_business,CA,0
2,61000,8,7,C,OWN,debt,FL,1
5,44000,13,12,D,MORTGAGE,debt,GA,1
5,75000,9,17,D,RENT,debt,CA,0
1,33600,4,6,C,RENT,debt,Other,1
3,50000,13,6,D,RENT,debt,Other,1
1,150000,12,17,A,OWN,debt,NY,1
10,90000,12,27,C,RENT,debt,Other,1
10,48000,15,12,C,MORTGAGE,debt,TX,1
1,75000,9,12,F,RENT,debt,CA,1
1,52000,11,8,A,MORTGAGE,small_business,TX,1
10,65000,10,23,E,MORTGAGE,debt,FL,1
3,150000,11,9,D,MORTGAGE,purchase,NY,1
2,68000,9,5,C,RENT,debt,Other,1
6,42000,4,15,B,RENT,debt,NY,1
4,53000,7,11,A,RENT,purchase,CA,1
10,35000,10,12,B,RENT,debt,CA,1
2,60000,8,9,B,RENT,debt,CA,1
4,28000,5,6,D,RENT,purchase,Other,1
1,42000,4,29,B,MORTGAGE,purchase,TX,1
9,88365,6,15,D,RENT,debt,Other,1
4,72000,11,9,C,RENT,debt,CA,1
1,62000,10,10,B,RENT,debt,TX,1
3,43680,7,11,B,MORTGAGE,debt,Other,1
3,120000,5,5,E,RENT,debt,NY,1
10,66000,8,13,B,RENT,purchase,CA,1
4,39120,8,15,B,OWN,debt,FL,1
6,85000,14,28,F,RENT,debt,Other,1
4,47800,15,10,B,MORTGAGE,debt,Other,1
7,45000,13,9,D,MORTGAGE,debt,Other,0
10,83000,6,26,A,MORTGAGE,purchase,IL,1
1,81000,6,7,B,RENT,purchase,Other,1
2,25000,7,14,B,RENT,debt,CA,0
7,65000,8,15,D,RENT,debt,Other,1
8,28800,11,6,A,OWN,debt,Other,1
6,135000,7,15,B,RENT,debt,NY,1
7,50000,8,6,A,MORTGAGE,debt,TX,1
10,38000,6,7,D,RENT,debt,TX,0
10,45000,5,22,B,RENT,debt,CA,1
10,80000,8,10,C,RENT,debt,CA,1
5,50000,6,8,C,RENT,debt,Other,1
10,30000,12,16,B,MORTGAGE,purchase,Other,1
8,110000,7,17,A,MORTGAGE,small_business,Other,1
8,45608,7,19,A,OWN,debt,Other,1
3,120000,13,6,F,MORTGAGE,debt,FL,1
5,35000,7,9,B,MORTGAGE,debt,IL,1
1,75000,9,15,D,RENT,debt,CA,0
9,35000,7,6,B,MORTGAGE,debt,Other,1
6,24000,6,12,A,RENT,debt,CA,1
2,126000,17,22,B,MORTGAGE,debt,Other,1
1,43000,8,9,A,RENT,debt,CA,1
1,50000,11,12,B,RENT,debt,CA,1
10,67000,6,12,C,MORTGAGE,debt,Other,0
4,45000,12,11,B,RENT,debt,Other,0
3,31200,13,6,B,RENT,debt,NY,1
4,66000,11,11,B,RENT,debt,Other,1
10,52000,10,23,E,RENT,debt,TX,0
10,56964,7,13,A,RENT,debt,CA,1
7,49500,7,7,C,RENT,debt,FL,1
10,70000,17,20,E,RENT,debt,Other,1
6,125000,8,11,A,MORTGAGE,debt,CA,1
3,33000,9,7,A,RENT,debt,Other,1
1,30000,7,7,B,RENT,debt,Other,1
8,90000,9,17,C,MORTGAGE,purchase,CA,0
5,23000,9,7,A,MORTGAGE,purchase,Other,1
2,24000,5,6,C,RENT,debt,Other,1
10,62000,7,13,A,RENT,debt,Other,1
4,44000,7,11,A,RENT,debt,GA,1
1,90000,10,5,B,RENT,debt,Other,1
10,41000,8,21,A,RENT,debt,Other,0
2,56000,11,12,B,MORTGAGE,debt,CA,1
5,26500,6,11,A,MORTGAGE,small_business,Other,1
1,54000,9,5,E,RENT,debt,GA,1
2,53000,15,9,B,RENT,purchase,Other,1
4,52800,9,7,C,RENT,debt,CA,1
1,38000,13,19,A,MORTGAGE,debt,GA,1
7,38000,3,15,B,RENT,debt,CA,1
2,42000,8,6,B,RENT,debt,Other,0
4,55000,8,8,E,RENT,debt,Other,1
8,60000,6,21,E,MORTGAGE,debt,GA,1
6,87000,12,12,B,MORTGAGE,purchase,Other,1
5,25000,6,8,D,OWN,debt,IL,1
1,82000,13,17,C,RENT,debt,Other,1
8,60000,8,10,B,RENT,debt,CA,0
5,80000,8,10,D,MORTGAGE,debt,GA,1
10,25000,7,10,C,RENT,debt,CA,0
5,48000,7,5,B,RENT,purchase,IL,1
1,85000,8,13,C,MORTGAGE,debt,Other,0
1,57000,7,13,C,RENT,debt,CA,1
2,25000,6,6,A,RENT,debt,Other,1
2,34000,6,6,B,RENT,debt,Other,1
10,40000,10,8,B,RENT,debt,Other,1
10,42656.4,4,10,C,RENT,debt,GA,1
2,44400,6,29,D,MORTGAGE,purchase,FL,1
2,30000,8,17,B,OWN,debt,Other,1
5,70000,9,17,A,MORTGAGE,debt,NY,1
3,28000,8,5,C,RENT,purchase,CA,1
2,50000,17,13,B,MORTGAGE,debt,Other,1
10,94800,13,26,C,MORTGAGE,purchase,TX,1
10,40000,6,19,B,OWN,debt,FL,1
2,36000,13,32,B,MORTGAGE,debt,Other,1
2,45900,10,7,C,RENT,small_business,CA,1
4,27200,6,3,C,RENT,debt,Other,1
1,42000,12,16,B,RENT,debt,FL,1
5,135000,11,8,B,RENT,debt,NY,1
5,65000,12,12,C,RENT,small_business,CA,0
1,24000,4,7,D,RENT,debt,IL,0
6,70000,10,9,F,RENT,debt,FL,0
10,65000,6,9,B,RENT,debt,NY,1
3,60000,7,21,B,RENT,debt,CA,0
3,30000,7,5,B,RENT,debt,Other,1
10,43000,7,13,B,RENT,debt,CA,1
10,42000,10,10,D,RENT,debt,Other,0
8,75000,10,21,D,RENT,debt,CA,0
10,129000,10,14,C,MORTGAGE,debt,CA,1
2,168000,16,9,B,MORTGAGE,debt,TX,1
9,74000,7,13,B,MORTGAGE,debt,Other,1
7,52000,7,22,C,MORTGAGE,debt,Other,1
1,58500,8,17,B,RENT,debt,IL,0
5,71000,4,13,B,RENT,debt,Other,1
10,75000,10,16,B,RENT,debt,Other,1
5,60000,12,10,B,RENT,debt,CA,1
5,87996,8,8,D,RENT,purchase,NY,1
5,140000,13,5,D,MORTGAGE,purchase,Other,1
10,66000,7,12,A,RENT,debt,Other,1
8,70000,7,6,C,MORTGAGE,purchase,NY,0
10,100000,8,25,B,MORTGAGE,debt,Other,1
5,50000,13,10,B,RENT,debt,NY,1
4,35000,11,9,B,RENT,debt,Other,1
6,75000,7,13,C,RENT,debt,CA,1
5,71000,4,8,C,RENT,purchase,Other,1
10,48000,5,6,B,MORTGAGE,debt,Other,1
5,36000,7,13,C,RENT,debt,FL,1
10,86000,12,18,B,MORTGAGE,debt,CA,0
3,30000,7,4,D,RENT,debt,CA,0
2,60000,7,9,B,RENT,debt,CA,1
3,34000,9,7,A,RENT,debt,Other,1
10,44200,9,7,C,MORTGAGE,debt,CA,1
7,82000,6,10,B,MORTGAGE,debt,Other,1
6,83000,12,21,E,MORTGAGE,debt,Other,1
2,41000,7,7,C,RENT,purchase,TX,1
1,36000,17,19,C,MORTGAGE,debt,Other,1
10,35000,7,11,C,RENT,debt,TX,0
1,30000,11,6,C,RENT,debt,Other,1
1,40000,7,11,A,RENT,purchase,Other,1
9,105000,10,20,B,MORTGAGE,debt,TX,1
4,45000,14,7,C,MORTGAGE,debt,FL,1
10,109000,9,38,D,MORTGAGE,debt,Other,1
2,50000,10,11,D,RENT,debt,TX,1
2,83000,14,10,B,RENT,debt,CA,1
1,52500,14,12,B,MORTGAGE,purchase,CA,0
1,25000,5,22,C,OWN,debt,Other,1
10,60000,15,16,C,MORTGAGE,debt,FL,1
7,120000,7,12,G,MORTGAGE,debt,Other,1
3,68000,5,10,A,RENT,debt,GA,0
10,53000,5,13,D,MORTGAGE,purchase,Other,0
6,69600,10,32,B,MORTGAGE,debt,Other,0
1,65000,10,9,A,RENT,purchase,CA,1
10,144000,6,15,D,MORTGAGE,debt,CA,1
2,75000,8,5,B,RENT,debt,NY,1
7,29000,5,6,B,MORTGAGE,debt,Other,1
2,70000,5,11,B,RENT,debt,CA,0
5,45000,15,31,A,RENT,debt,Other,1
5,55200,6,9,B,MORTGAGE,purchase,Other,1
7,61440,6,15,A,MORTGAGE,purchase,CA,1
10,56000,7,12,A,MORTGAGE,debt,FL,1
1,47000,6,11,A,RENT,debt,IL,1
1,55000,9,11,F,RENT,debt,Other,1
1,71000,15,13,C,RENT,debt,Other,1
10,50000,8,9,B,RENT,purchase,NY,0
8,135000,14,9,B,RENT,debt,CA,1
10,63000,5,18,B,MORTGAGE,debt,GA,1
4,44000,9,12,D,MORTGAGE,debt,NY,1
5,50000,8,9,C,MORTGAGE,debt,Other,1
5,80000,11,11,B,RENT,debt,TX,1
4,45000,14,7,B,RENT,debt,Other,1
2,78000,16,6,A,RENT,purchase,NY,1
1,33000,12,14,B,RENT,debt,Other,1
5,62800,10,17,B,RENT,debt,Other,1
3,26400,8,5,D,RENT,small_business,TX,1
10,80000,30,14,E,MORTGAGE,purchase,Other,1
2,25000,5,7,B,RENT,debt,Other,0
10,65000,8,30,A,MORTGAGE,debt,TX,1
10,59000,10,20,A,OWN,purchase,Other,1
1,33000,13,14,B,RENT,debt,CA,1
10,39000,7,13,B,RENT,debt,Other,0
10,42000,7,18,A,RENT,debt,Other,1
5,38004,12,5,B,MORTGAGE,purchase,Other,1
3,31000,13,6,B,OWN,purchase,Other,1
10,50700,10,15,A,MORTGAGE,purchase,Other,1
1,75000,9,21,B,OWN,debt,Other,1
2,30000,8,9,C,MORTGAGE,debt,Other,1
6,40000,8,12,C,RENT,debt,GA,1
10,50000,5,13,C,MORTGAGE,debt,CA,1
7,80000,8,18,A,MORTGAGE,purchase,Other,1
4,40000,9,13,B,RENT,debt,Other,1
7,80000,8,8,A,RENT,purchase,CA,0
2,75000,7,11,B,RENT,debt,CA,1
8,85000,16,17,E,MORTGAGE,debt,IL,1
1,28800,5,9,A,RENT,purchase,FL,1
10,35000,6,9,C,RENT,small_business,Other,0
9,61200,5,12,B,RENT,debt,CA,1
1,40000,4,15,A,RENT,purchase,CA,1
1,25920,8,11,B,RENT,debt,CA,0
9,54000,6,13,A,MORTGAGE,purchase,Other,1
10,18000,5,11,A,RENT,small_business,Other,1
5,85000,7,10,A,RENT,debt,IL,1
5,78000,6,13,A,RENT,debt,NY,1
10,45600,5,19,A,OWN,debt,Other,0
2,70000,14,8,B,RENT,debt,TX,1
4,70000,10,12,C,RENT,debt,IL,1
9,80000,7,24,A,MORTGAGE,debt,Other,1
5,50000,8,6,A,RENT,debt,Other,1
10,35000,10,13,B,MORTGAGE,debt,Other,1
3,65000,10,10,A,MORTGAGE,debt,Other,1
1,84000,11,13,C,MORTGAGE,debt,Other,1
10,75000,13,9,C,MORTGAGE,debt,Other,1
6,35000,10,9,B,RENT,debt,Other,1
6,40000,7,12,B,RENT,debt,FL,1
1,100000,10,9,B,MORTGAGE,purchase,FL,1
7,40000,12,10,A,OWN,debt,Other,1
10,52000,8,13,D,RENT,debt,NY,1
3,92500,11,6,B,RENT,debt,CA,1
9,61000,5,15,B,RENT,debt,CA,1
10,36000,5,15,B,RENT,purchase,Other,1
10,68000,7,21,A,MORTGAGE,debt,CA,1
1,80000,10,16,B,RENT,debt,CA,1
10,43000,13,12,B,RENT,debt,NY,1
1,150000,5,15,B,RENT,debt,NY,1
5,50000,9,6,D,RENT,debt,Other,0
3,70000,7,5,B,RENT,small_business,TX,0
6,40000,7,11,D,OWN,purchase,CA,0
2,35000,16,7,B,OWN,debt,Other,1
6,80000,8,9,C,RENT,debt,CA,1
10,59000,16,11,E,OWN,debt,Other,0
10,40000,7,10,D,RENT,debt,NY,1
5,85000,11,8,E,RENT,debt,Other,1
1,55000,7,10,A,RENT,debt,Other,1
6,110000,8,10,B,RENT,debt,CA,1
5,100000,7,11,B,RENT,debt,Other,1
3,62000,9,11,C,RENT,debt,Other,1
1,45000,8,30,A,RENT,debt,GA,1
5,110000,8,12,B,RENT,debt,FL,1
3,60000,17,14,E,RENT,debt,CA,0
10,61500,11,12,E,RENT,debt,NY,0
3,33000,6,12,B,RENT,purchase,NY,1
3,61000,7,8,A,RENT,debt,Other,1
10,78216,8,16,C,OWN,debt,CA,0
1,62000,8,23,D,MORTGAGE,debt,Other,0
2,50964,7,8,D,RENT,debt,GA,1
3,43680,17,11,C,RENT,debt,Other,1
2,56000,9,18,C,MORTGAGE,debt,CA,1
5,50700,12,8,B,RENT,debt,Other,1
2,30000,8,10,B,RENT,debt,Other,0
5,50000,7,8,A,RENT,purchase,Other,1
10,75000,9,20,E,RENT,debt,Other,1
3,90000,10,6,E,RENT,debt,NY,1
10,55000,10,14,B,RENT,debt,Other,0
10,50000,6,9,C,MORTGAGE,purchase,Other,1
3,84000,8,5,C,RENT,debt,CA,1
6,155000,14,22,B,OWN,debt,GA,1
1,62000,10,10,A,MORTGAGE,debt,Other,1
2,175000,12,29,B,MORTGAGE,debt,TX,1
2,30000,6,20,B,RENT,debt,NY,1
7,50000,12,17,D,RENT,debt,IL,1
2,35004,13,8,C,MORTGAGE,purchase,NY,1
7,85000,13,9,B,OWN,purchase,Other,1
5,32000,11,10,B,RENT,debt,FL,0
10,116400,14,19,A,MORTGAGE,purchase,FL,0
9,40000,8,9,B,MORTGAGE,debt,IL,1
7,34000,7,9,C,RENT,debt,Other,1
5,73000,16,17,C,MORTGAGE,debt,IL,1
10,57200,11,12,B,RENT,debt,Other,0
1,114000,17,13,D,MORTGAGE,debt,Other,1
10,90000,15,12,B,MORTGAGE,debt,NY,1
8,54000,9,8,E,MORTGAGE,purchase,Other,1
2,35000,10,12,B,RENT,debt,Other,0
7,56000,14,22,C,RENT,debt,FL,1
5,35000,8,15,B,RENT,debt,Other,1
10,40000,11,10,A,MORTGAGE,debt,NY,1
2,59000,13,22,D,OWN,debt,Other,1
6,48000,7,6,A,RENT,debt,FL,1
10,85000,7,17,A,OWN,purchase,Other,1
10,70000,6,10,C,MORTGAGE,debt,TX,1
4,35000,9,15,A,RENT,debt,Other,0
6,91000,13,28,C,MORTGAGE,debt,Other,1
9,30000,7,11,A,MORTGAGE,purchase,CA,1
4,45000,21,16,C,RENT,debt,NY,1
1,55000,11,6,A,RENT,debt,FL,1
3,53004,3,8,E,RENT,purchase,FL,0
10,60000,12,11,E,RENT,debt,CA,0
8,82000,7,9,C,OWN,debt,CA,1
10,53000,9,12,C,RENT,debt,CA,1
5,35360,9,6,B,MORTGAGE,debt,Other,0
10,54000,9,13,B,RENT,debt,FL,1
8,65000,11,13,C,RENT,debt,Other,1
5,65000,15,5,B,RENT,debt,CA,1
6,28800,10,13,A,OWN,debt,CA,1
1,42000,3,4,D,RENT,debt,Other,1
3,36000,9,11,B,RENT,debt,TX,1
2,40000,8,13,B,RENT,debt,Other,1
4,50000,11,18,B,RENT,debt,GA,1
1,52000,6,7,B,RENT,debt,CA,1
3,85000,7,6,E,MORTGAGE,debt,Other,1
3,32000,9,6,A,RENT,debt,Other,0
6,75000,9,25,A,OWN,debt,FL,1
1,80000,10,6,C,RENT,debt,NY,1
7,40246,7,12,A,MORTGAGE,debt,Other,1
3,30000,7,7,B,OWN,debt,Other,0
1,36000,4,5,B,RENT,debt,Other,0
6,60000,11,13,B,RENT,debt,CA,1
3,31200,14,6,B,RENT,debt,CA,1
10,90000,13,13,B,RENT,debt,Other,1
4,40000,5,18,A,RENT,debt,Other,1
1,90000,11,9,B,RENT,debt,Other,1
9,105000,9,21,B,MORTGAGE,purchase,TX,1
1,30084,6,17,A,RENT,debt,Other,0
10,36000,5,9,B,MORTGAGE,purchase,Other,1
4,67000,14,20,D,RENT,debt,CA,1
10,63000,12,12,D,MORTGAGE,debt,FL,1
6,26400,4,18,B,RENT,debt,Other,1
3,68400,5,11,B,MORTGAGE,debt,FL,1
1,29120,5,12,C,RENT,debt,Other,1
1,29120,6,10,D,RENT,debt,Other,1
10,89122,17,16,C,MORTGAGE,purchase,Other,1
4,54000,10,20,C,MORTGAGE,debt,Other,1
5,30000,6,11,A,MORTGAGE,debt,Other,1
4,30000,5,9,C,MORTGAGE,debt,Other,1
10,50000,10,13,C,RENT,debt,Other,1
6,92000,17,24,F,MORTGAGE,purchase,Other,1
10,100500,8,10,C,MORTGAGE,debt,Other,1
3,40000,7,5,C,RENT,debt,CA,1
5,47000,7,18,B,MORTGAGE,debt,FL,1
3,68000,11,16,D,MORTGAGE,debt,FL,1
8,95000,9,10,F,MORTGAGE,debt,Other,1
4,39600,8,13,A,RENT,debt,CA,1
3,30000,11,9,C,OWN,debt,CA,1
1,30000,11,29,A,RENT,debt,Other,1
1,17000,10,4,E,RENT,purchase,Other,0
3,42000,4,9,B,RENT,debt,Other,1
10,75000,10,16,C,RENT,debt,CA,0
4,42000,5,5,B,RENT,debt,Other,1
3,27000,12,10,C,MORTGAGE,debt,NY,1
10,130000,15,29,B,MORTGAGE,debt,Other,1
5,46000,12,10,A,MORTGAGE,purchase,Other,1
10,80000,8,11,B,MORTGAGE,debt,Other,1
3,45000,7,15,A,MORTGAGE,debt,CA,1
2,72500,7,12,A,RENT,debt,NY,1
2,30000,8,11,A,RENT,debt,TX,1
9,50000,15,7,C,RENT,debt,Other,0
9,75000,9,18,E,RENT,debt,FL,1
5,65000,20,9,C,MORTGAGE,purchase,NY,1
10,65000,10,14,A,MORTGAGE,purchase,TX,1
4,120000,7,15,B,MORTGAGE,purchase,Other,1
5,42500,7,9,D,MORTGAGE,debt,Other,1
2,75000,10,33,C,MORTGAGE,debt,NY,0
8,195000,17,16,E,RENT,debt,Other,1
4,54990,16,10,C,RENT,debt,TX,1
1,40000,6,12,B,RENT,debt,Other,0
2,137000,11,20,A,MORTGAGE,debt,TX,1
10,60000,13,17,D,RENT,debt,CA,0
3,30120,8,8,D,RENT,debt,NY,1
1,46000,7,9,A,RENT,debt,Other,1
8,135000,11,12,B,MORTGAGE,debt,Other,1
10,65000,10,10,B,RENT,debt,CA,1
2,78000,8,20,A,MORTGAGE,debt,TX,1
5,60000,6,16,A,MORTGAGE,purchase,Other,1
10,48000,7,12,A,RENT,debt,Other,1
1,25000,13,13,A,RENT,debt,IL,1
3,82000,14,23,A,MORTGAGE,debt,CA,1
10,82000,12,31,E,MORTGAGE,debt,CA,1
5,42000,13,11,A,MORTGAGE,debt,Other,1
3,27600,4,11,D,RENT,debt,CA,1
5,38000,11,9,B,MORTGAGE,debt,Other,1
4,35000,7,8,D,RENT,debt,CA,1
10,33000,5,21,B,OWN,debt,CA,1
10,52800,8,8,B,MORTGAGE,purchase,Other,1
10,40900,10,11,C,MORTGAGE,debt,Other,1
10,73882,10,19,B,RENT,debt,Other,1
7,36000,9,14,B,MORTGAGE,debt,FL,1
10,130000,12,14,B,MORTGAGE,debt,CA,1
10,57200,18,19,A,MORTGAGE,debt,Other,1
5,51871,5,6,D,RENT,debt,Other,0
2,15000,3,5,B,OWN,debt,CA,1
9,70197,7,11,A,MORTGAGE,debt,Other,1
7,47000,8,17,A,RENT,purchase,Other,1
9,43000,9,15,D,RENT,debt,Other,0
6,120000,13,15,A,MORTGAGE,purchase,Other,1
10,86004,8,14,B,MORTGAGE,purchase,Other,0
10,75000,6,20,B,MORTGAGE,purchase,TX,1
1,110000,12,13,D,RENT,small_business,TX,0
3,80000,8,11,E,MORTGAGE,debt,Other,1
4,44000,6,10,B,RENT,debt,CA,1
7,51600,8,7,D,MORTGAGE,debt,Other,1
1,38500,8,7,B,RENT,debt,Other,1
4,75000,19,12,A,RENT,purchase,FL,1
10,37320,8,10,C,MORTGAGE,debt,GA,1
10,55000,8,10,A,RENT,debt,NY,1
2,100000,7,9,B,RENT,purchase,CA,1
10,70000,10,12,D,MORTGAGE,debt,Other,1
8,68000,7,10,D,RENT,debt,Other,0
10,66000,10,24,D,MORTGAGE,debt,CA,1
8,85000,12,9,B,RENT,purchase,Other,1
1,83004,10,14,D,RENT,debt,CA,1
1,51000,8,19,A,RENT,debt,Other,0
2,55000,9,13,B,RENT,debt,CA,1
10,47000,12,14,A,MORTGAGE,debt,Other,1
4,86000,16,9,A,RENT,debt,CA,1
10,48000,3,12,C,OWN,debt,TX,0
10,49000,10,11,B,RENT,purchase,NY,1
4,85000,10,16,B,MORTGAGE,debt,Other,1
2,50000,8,11,A,MORTGAGE,debt,Other,1
10,105000,16,11,E,RENT,debt,NY,0
1,51204,16,24,A,RENT,debt,NY,0
2,42996,3,3,C,RENT,debt,NY,1
5,60000,11,17,E,RENT,debt,CA,1
10,85000,11,25,C,MORTGAGE,debt,Other,1
3,120000,9,6,A,MORTGAGE,purchase,NY,1
10,62691,5,18,C,OWN,purchase,Other,1
1,36000,10,13,B,MORTGAGE,debt,Other,1
3,85000,10,27,E,OWN,debt,FL,0
4,49668,4,9,A,RENT,debt,CA,1
2,30000,2,12,C,RENT,debt,Other,1
10,40000,8,15,B,OWN,debt,Other,1
10,40000,15,15,C,MORTGAGE,debt,Other,1
5,100000,10,7,B,MORTGAGE,debt,IL,1
2,56312,6,10,B,RENT,purchase,Other,1
10,54011,9,12,D,RENT,debt,CA,1
2,49110.32,10,13,B,RENT,debt,CA,1
1,75000,14,11,C,RENT,debt,Other,0
7,95000,9,12,C,MORTGAGE,debt,Other,1
2,80000,8,12,B,RENT,debt,Other,1
9,55000,8,10,B,MORTGAGE,debt,CA,1
8,90000,17,10,C,RENT,debt,Other,1
3,68500,12,6,C,RENT,debt,Other,1
4,100000,7,14,B,RENT,debt,CA,1
10,72000,8,13,B,MORTGAGE,debt,Other,1
6,70000,10,7,D,RENT,debt,CA,1
5,37000,8,12,B,RENT,purchase,Other,0
10,75000,9,16,C,OWN,debt,Other,1
1,75000,13,14,D,MORTGAGE,debt,CA,1
6,39000,6,6,C,RENT,debt,Other,1
1,60000,11,9,B,RENT,debt,NY,1
3,68000,7,13,C,RENT,debt,FL,1
3,110000,5,7,D,MORTGAGE,purchase,Other,1
3,40000,5,3,C,RENT,purchase,NY,1
5,31000,5,9,E,OWN,debt,CA,1
10,60000,7,10,C,RENT,debt,NY,0
3,43000,14,5,D,RENT,debt,CA,1
6,42000,13,11,A,RENT,debt,Other,1
6,30000,8,16,B,RENT,purchase,FL,0
10,50000,13,14,B,MORTGAGE,debt,FL,1
1,39396,6,11,A,MORTGAGE,purchase,GA,1
7,98000,11,10,C,OWN,debt,CA,1
10,62500,4,11,B,RENT,debt,Other,1
8,95000,15,13,E,MORTGAGE,debt,Other,1
10,45000,5,16,E,RENT,purchase,Other,0
10,32400,9,11,A,RENT,debt,CA,1
10,50000,9,19,B,RENT,debt,Other,1
10,114996,14,11,B,MORTGAGE,debt,NY,1
6,54400,14,13,C,RENT,debt,Other,0
7,72800,12,11,B,MORTGAGE,debt,Other,1
1,42500,10,8,E,RENT,debt,GA,0
10,61000,10,15,G,RENT,debt,NY,1
10,28000,4,10,D,RENT,debt,Other,0
2,120000,12,13,F,OWN,debt,Other,1
8,96000,16,25,C,MORTGAGE,debt,Other,1
3,83200,8,6,D,RENT,debt,Other,1
8,45000,9,12,C,RENT,debt,Other,1
5,68809,10,6,D,RENT,debt,FL,0
3,75000,8,15,B,RENT,purchase,CA,0
3,52000,11,9,B,RENT,purchase,NY,1
6,57600,8,40,A,RENT,purchase,CA,1
4,48500,7,20,D,RENT,debt,CA,1
2,95000,9,6,D,RENT,debt,GA,1
1,58000,11,9,C,RENT,debt,IL,1
10,24000,10,10,B,MORTGAGE,debt,Other,1
9,58000,7,12,B,MORTGAGE,debt,Other,1
3,104000,10,15,A,MORTGAGE,purchase,Other,1
4,35000,3,5,B,RENT,purchase,CA,1
5,53000,6,5,C,RENT,purchase,Other,1
2,28000,9,4,C,RENT,debt,CA,0
4,118000,7,16,A,MORTGAGE,purchase,IL,0
1,40000,9,15,B,RENT,purchase,FL,1
10,65000,4,17,A,MORTGAGE,purchase,Other,0
2,25000,9,7,A,RENT,debt,CA,1
10,36000,14,14,B,MORTGAGE,debt,CA,1
2,45000,9,10,E,RENT,debt,IL,1
3,65000,12,7,C,RENT,debt,NY,1
8,84996,13,13,B,MORTGAGE,debt,GA,0
6,66000,8,15,A,RENT,debt,Other,1
2,92000,9,13,E,MORTGAGE,debt,Other,1
10,70000,9,6,B,RENT,debt,CA,1
10,49000,15,10,D,MORTGAGE,debt,Other,0
8,76896,12,12,B,MORTGAGE,debt,FL,1
10,24000,6,13,B,RENT,purchase,IL,1
2,60000,7,9,C,RENT,debt,TX,1
3,120000,10,11,A,MORTGAGE,debt,CA,1
